Unique_ID,dataset_id,lat_deg,long_deg,family,genus,species_binom,woodiness,reclass_life_history,putative_BNF,myc_type,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm,PrecipSeasonality_WorldClim30s1,TempSeasonality_WorldClim30s1
6348,Firn_2019,-31.7821,117.6108,Poaceae,Austrostipa,Austrostipa nitida,herbaceous,long,0,AM,23.95576867,0.67263686,466.717366,35.61471292,19.48246255,693.8623108,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
6344,Firn_2019,-31.7821,117.6108,Poaceae,Austrostipa,Austrostipa nitida,herbaceous,long,0,AM,17.66540373,1.0472609,475.2479836,16.86819753,26.90275246,453.8009426,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
6319,Firn_2019,-27.7348,151.1395,Poaceae,Eragrostis,Eragrostis sororia,herbaceous,long,0,NM-AM,16.28248708,1.07721561,450.940363,15.11534639,27.69480859,418.6166249,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
6329,Firn_2019,-27.7348,151.1395,Poaceae,Eragrostis,Eragrostis sororia,herbaceous,long,0,NM-AM,16.04223424,1.97346198,457.2674866,8.128980645,28.50397767,231.7082828,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
6314,Firn_2019,-36.874,147.254,Poaceae,Poa,Poa hiemata,herbaceous,long,0,AM,13.69080956,3.55990948,480.2939876,3.84583081,35.08148919,134.917472,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
6309,Firn_2019,-36.874,147.254,Poaceae,Poa,Poa hiemata,herbaceous,long,0,AM,10.007342,1.70938746,472.0533832,5.854343871,47.17070559,276.1535312,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
6305,Firn_2019,-36.874,147.254,Poaceae,Poa,Poa hiemata,herbaceous,long,0,AM,8.61178628,1.55303898,482.6108377,5.545119209,56.04073557,310.7525593,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
6328,Firn_2019,-27.7348,151.1395,Poaceae,Eragrostis,Eragrostis curvula,herbaceous,long,0,NM-AM,12.34157053,1.60523265,483.1437171,7.688337594,39.14766892,300.9804947,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
6327,Firn_2019,-27.7348,151.1395,Poaceae,Eragrostis,Eragrostis curvula,herbaceous,long,0,NM-AM,10.60140594,0.62649344,498.0109669,16.92181476,46.975936,794.9180871,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
6318,Firn_2019,-27.7348,151.1395,Poaceae,Eragrostis,Eragrostis curvula,herbaceous,long,0,NM-AM,10.31234195,0.45534363,495.4475678,22.6473838,48.04413684,1088.074006,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
709,Firn_2019,-36.2,143.75,Chenopodiaceae,Atriplex,Atriplex semibaccata,herbaceous,long,0,NM-AM,50.99185962,NA,411.7174614,NA,8.074180163,NA,-36.2143.75,-36.2143.75,0.096,0.03,1.026,24.651,16.573,1.062,4478.895,16.162,349.505,21.82745552,513.2398682
413,Firn_2019,-36.874,147.254,Asteraceae,Craspedia,Craspedia aurantia,herbaceous,long,0,NA,26.5259832,4.632264,458.6368638,5.726353938,17.29009856,99.00922396,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
414,Firn_2019,-36.874,147.254,Asteraceae,Craspedia,Craspedia aurantia,herbaceous,long,0,NA,25.57624073,4.8574368,445.7984385,5.265377973,17.43017839,91.77647736,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
416,Firn_2019,-36.874,147.254,Asteraceae,Craspedia,Craspedia aurantia,herbaceous,long,0,NA,19.14629725,2.657506,428.6259896,7.204611109,22.38688682,161.2888135,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
7815,Firn_2019,-27.7348,151.1395,Verbenaceae,Glandularia,Glandularia aristigera,herbaceous,long,0,AM,27.11866858,2.2012564,390.6438481,12.31963191,14.40497888,177.4640374,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
6282,Firn_2019,-36.874,147.254,Plantaginaceae,Plantago,Plantago euryphylla,herbaceous,long,0,AM,17.3873188,2.00403634,592.8393171,8.676149455,34.0960745,295.8226382,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
6280,Firn_2019,-36.874,147.254,Plantaginaceae,Plantago,Plantago euryphylla,herbaceous,long,0,AM,13.04300186,1.43374747,461.1911519,9.09714028,35.35927978,321.6683283,-36.874147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352,26.48821449,503.1060791
418,Firn_2019,-27.7348,151.1395,Asteraceae,Sphaeromorphaea,Sphaeromorphaea australis,herbaceous,long,0,NA,37.60129152,3.33778153,420.4948672,11.2653543,11.18299,125.9803446,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
423,Firn_2019,-27.7348,151.1395,Asteraceae,Sphaeromorphaea,Sphaeromorphaea australis,herbaceous,long,0,NA,27.1070308,2.47478822,396.6405273,10.95327292,14.63238561,160.2725131,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
424,Firn_2019,-27.7348,151.1395,Asteraceae,Sphaeromorphaea,Sphaeromorphaea australis,herbaceous,long,0,NA,29.99481866,2.82027324,452.5518959,10.63543001,15.08766901,160.4638478,-27.7348151.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48761368,500.5790405
428,Firn_2019,-31.7821,117.6108,Asteraceae,Brachyscome,Brachyscome iberidifolia,herbaceous,long,0,AM,38.63945815,NA,463.3347711,NA,11.99123366,NA,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
984,Westman_1977,-27.5,153.5,Dennstaedtiaceae,Pteridium,Pteridium esculentum,herbaceous,long,0,AM,17,1,NA,17,NA,NA,-27.5153.5,-27.5153.5,0.069,0.017,2.383,5.08,13.93,2.695,13857.158,20.66,1329.862,35.64699936,343.0177307
6481,Westman_1977,-27.5,153.5,Poaceae,Imperata,Imperata cylindrica,herbaceous,long,0,AM,6,0.6,NA,10,NA,NA,-27.5153.5,-27.5153.5,0.069,0.017,2.383,5.08,13.93,2.695,13857.158,20.66,1329.862,35.64699936,343.0177307
975,Westman_1977,-27.5,153.5,Cyperaceae,Lepidosperma,Lepidosperma laterale,herbaceous,long,0,NM-AM,3,0.2,NA,15,NA,NA,-27.5153.5,-27.5153.5,0.069,0.017,2.383,5.08,13.93,2.695,13857.158,20.66,1329.862,35.64699936,343.0177307
974,Westman_1977,-27.5,153.5,Cyperaceae,Caustis,Caustis blakei,herbaceous,long,0,NM-AM,14,0.6,NA,23.33333333,NA,NA,-27.5153.5,-27.5153.5,0.069,0.017,2.383,5.08,13.93,2.695,13857.158,20.66,1329.862,35.64699936,343.0177307
354,Westman_1977,-27.5,153.5,Asparagaceae,Lomandra,Lomandra longifolia,herbaceous,long,0,NM-AM,18,0.6,NA,30,NA,NA,-27.5153.5,-27.5153.5,0.069,0.017,2.383,5.08,13.93,2.695,13857.158,20.66,1329.862,35.64699936,343.0177307
6363,Grootemaat_2017_2,-32.9763889,146.1458333,Poaceae,Triodia,Triodia scariosa,herbaceous,long,0,AM,6.35338992,0.33749736,447.5636897,18.82500628,70.44486413,1326.125009,-32.9763889146.1458333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6362,Grootemaat_2017_2,-32.9763889,146.1458333,Poaceae,Triodia,Triodia scariosa,herbaceous,long,0,AM,5.92674734,0.35117978,453.992389,16.87667593,76.60059776,1292.763464,-32.9763889146.1458333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6361,Grootemaat_2017_2,-32.9763889,146.1458333,Poaceae,Triodia,Triodia scariosa,herbaceous,long,0,AM,5.84148923,0.29983292,447.6343127,19.48248121,76.63016999,1492.945847,-32.9763889146.1458333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2843,Grootemaat_2017_2,-33.5788889,151.2922222,Meliaceae,Synoum,Synoum glandulosum,herbaceous,long,0,AM,20.31064438,1.10011643,483.8877022,18.46226802,23.82434024,439.8513548,-33.5788889151.2922222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2845,Grootemaat_2017_2,-33.5788889,151.2922222,Meliaceae,Synoum,Synoum glandulosum,herbaceous,long,0,AM,19.47370114,1.13892836,467.0303614,17.09826695,23.98261933,410.0612276,-33.5788889151.2922222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2844,Grootemaat_2017_2,-33.5788889,151.2922222,Meliaceae,Synoum,Synoum glandulosum,herbaceous,long,0,AM,19.24232037,1.03928029,479.1081006,18.51504407,24.89866562,460.9998912,-33.5788889151.2922222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2347,Schmidt_2003,-12.65,132.9166667,Flagellariaceae,Flagellaria,Flagellaria indica,herbaceous,long,0,AM,31,NA,458.05,NA,14.77580645,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2344,Schmidt_2003,-12.65,132.9166667,Flagellariaceae,Flagellaria,Flagellaria indica,herbaceous,long,0,AM,28,NA,439,NA,15.67857143,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2343,Schmidt_2003,-12.65,132.9166667,Flagellariaceae,Flagellaria,Flagellaria indica,herbaceous,long,0,AM,26,NA,460.5,NA,17.71153846,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7759,Schmidt_2003,-12.65,132.9166667,Smilacaceae,Smilax,Smilax australis,herbaceous,long,0,AM,16,NA,477.2,NA,29.825,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6375,Schmidt_2003,-12.65,132.9166667,Poaceae,Ectrosia,Ectrosia leporina,herbaceous,long,0,AM,10,NA,441.5,NA,44.15,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6374,Schmidt_2003,-12.65,132.9166667,Poaceae,Ectrosia,Ectrosia leporina,herbaceous,long,0,AM,9,NA,438.9,NA,48.76666667,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6379,Schmidt_2003,-12.65,132.9166667,Poaceae,Eriachne,Eriachne triseta,herbaceous,long,0,AM,8,NA,457,NA,57.125,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,Schmidt_2003,-12.65,132.9166667,Cyperaceae,Fimbristylis,Fimbristylis pauciflora,herbaceous,long,0,NM-AM,14,NA,451.35,NA,32.23928571,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,Schmidt_2003,-12.65,132.9166667,Cyperaceae,Fimbristylis,Fimbristylis pauciflora,herbaceous,long,0,NM-AM,7,NA,421,NA,60.14285714,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6381,Schmidt_2003,-12.65,132.9166667,Poaceae,Heteropogon,Heteropogon triticeus,herbaceous,long,0,AM,12,NA,432,NA,36,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6383,Schmidt_2003,-12.65,132.9166667,Poaceae,Heteropogon,Heteropogon triticeus,herbaceous,long,0,AM,6,NA,455.5,NA,75.91666667,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6382,Schmidt_2003,-12.65,132.9166667,Poaceae,Heteropogon,Heteropogon triticeus,herbaceous,long,0,AM,5,NA,456.7,NA,91.34,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,Schmidt_2003,-12.65,132.9166667,Convolvulaceae,Evolvulus,Evolvulus alsinoides,herbaceous,long,0,AM,12,NA,434.8,NA,36.23333333,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6127,Schmidt_2003,-12.65,132.9166667,Onagraceae,Ludwigia,Ludwigia octovalvis,herbaceous,long,0,NM-AM,15,NA,449,NA,29.93333333,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Schmidt_2003,-12.65,132.9166667,Aizoaceae,Sesuvium,Sesuvium portulacastrum,herbaceous,long,0,NM-AM,23,NA,235.05,NA,10.21956522,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
