latlong unique,lat,lon,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,,,
-33.6167150.7333,-33.6167,150.733,0.136,0.037,1.394,12.597,7.3,11632,17.849,780.781,727.4666748,,,
-33.61150.7407,-33.61,150.741,0.146,0.031,1.25,13.657,6.807,11632,17.849,780.781,727.4666748,,,
-33.6108150.741,-33.6108,150.741,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.4666748,,,
-33.5983118.4414,-33.5983,118.441,0.061,0.013,0.983,8.865,7.986,4434.368,16.082,326.181,309.657135,,,
-33.591151.28,-33.591,151.28,0.17,0.027,2.346,8.368,10.45,15049.842,17.838,1211.952,1003.047607,,,
-33.5885151.2834,-33.5885,151.283,0.142,0.026,2.375,7.761,10.45,15049.842,17.838,1211.952,1003.047607,,,
-33.5814115.4992,-33.5814,115.499,0.062,0.017,2.244,7.51,8.3,10562.421,17.656,676.867,641.6762085,,,
-33.5791150.3656,-33.5791,150.366,0.183,0.023,3.432,6.261,13.094,11632,13.197,1156.281,898.2904663,,,
-33.5789151.2922,-33.5789,151.292,0.159,0.029,2.429,9.058,11.944,15049.842,18.142,1197.052,1007.966675,,,
-33.578151.298,-33.578,151.298,0.159,0.026,3.075,9.04,10.287,15049.842,18.142,1197.052,1007.966675,,,
-33.5481118.3775,-33.5481,118.378,0.064,0.012,0.886,8.513,5.493,4434.368,16.156,321.638,305.3999939,,,
-33.543150.3443,-33.543,150.344,0.188,0.035,3.967,6.479,23.217,11632,13.197,1156.281,898.2904663,,,
-33.5384151.2827,-33.5384,151.283,0.198,0.038,2.567,9.728,11.45,15049.842,17.782,1173.367,981.6047363,,,
-33.3817118.51,-33.3817,118.51,0.059,0.013,0.928,8.253,8,4434.368,16.351,307.814,292.4571533,,,
-33.3789151.3239,-33.3789,151.324,0.153,0.027,2.694,7.956,18.066,15049.842,17.637,1174.638,972.18573,,,
-33.3763151.3225,-33.3763,151.323,0.165,0.027,2.608,7.275,17.573,15049.842,17.637,1174.638,972.18573,,,
-33.3747151.3206,-33.3747,151.321,0.144,0.028,2.709,8.491,16.066,15049.842,17.481,1152.848,957.0380859,,,
-33.3741151.324,-33.3741,151.324,0.193,0.025,3.194,8.993,14.916,15049.842,17.481,1152.848,957.0380859,,,
-33.3718151.3211,-33.3718,151.321,0.194,0.027,3.23,10.023,12.437,15049.842,17.481,1152.848,957.0380859,,,
-33.3718151.3188,-33.3718,151.319,0.182,0.021,3.088,8.334,17.56,15049.842,17.481,1152.848,957.0380859,,,
-33.3716151.3215,-33.3716,151.322,0.194,0.027,3.23,10.023,10.45,15049.842,17.481,1152.848,957.0380859,,,
-33.3714151.3208,-33.3714,151.321,0.194,0.027,3.23,10.023,12.437,15049.842,17.481,1152.848,957.0380859,,,
-33.3709151.3161,-33.3709,151.316,0.204,0.029,3.113,10.014,16.723,15049.842,17.481,1152.848,957.0380859,,,
-33.3708151.3179,-33.3708,151.318,0.185,0.02,3.099,8.915,15.08,15049.842,17.481,1152.848,957.0380859,,,
-33.1983151.3164,-33.1983,151.316,0.177,0.023,2.869,9.162,16.08,15049.842,17.384,1042.786,906.8095093,,,
-33.165118.4728,-33.165,118.473,0.056,0.011,0.771,8.925,9.493,4434.368,16.799,312.257,296.676178,,,
-33.0069115.7431,-33.0069,115.743,0.088,0.02,2.592,9.399,13.273,10562.421,17.966,773.219,711.6047974,,,
-32.9764146.1458,-32.9764,146.146,0.073,0.028,0.943,12.774,12.271,2994.368,18.264,350.148,332.4142761,,,
-32.9667146.1547,-32.9667,146.155,0.06,0.022,0.919,10.161,9.944,2994.368,18.264,350.148,332.4142761,,,
-32.829138.033,-32.829,138.033,0.065,0.018,1.086,11.146,16.546,2060.474,17.916,376.395,357.5857239,,,
-32.8125146.9336,-32.8125,146.934,0.076,0.037,1.132,12.137,13.928,2994.368,18.119,354.924,336.6190491,,,
-32.7297119.0047,-32.7297,119.005,0.043,0.009,1.145,7.466,3.52,3733.474,16.099,330.452,314.0714417,,,
-32.6847115.7427,-32.6847,115.743,0.098,0.019,2.558,15.133,10.123,9433.158,18.356,769.829,675.5380859,,,
-32.6714118.9989,-32.6714,118.999,0.052,0.008,1.271,6.957,5.52,3704.526,15.865,335.162,318.5857239,,,
-32.6647118.3258,-32.6647,118.326,0.058,0.013,0.856,10.342,8.164,3704.526,17.369,284.462,270.2714233,,,
-32.554117.3354,-32.554,117.335,0.054,0.008,1.029,5.995,3.507,5580,16.274,353.886,332.6666565,,,
-32.5207116.499,-32.5207,116.499,0.072,0.014,1.793,7.592,5.027,9433.158,15.736,616.862,471.6952515,,,
-32.4258119.3564,-32.4258,119.356,0.043,0.008,0.827,7.811,4.014,3733.474,17.184,341.5,324.6000061,,,
-32.3527116.0765,-32.3527,116.077,0.069,0.017,2.106,3.563,4.507,9433.158,16.786,1002.448,641.0095215,,,
-32.321137.954,-32.321,137.954,0.061,0.017,0.764,6.726,17.834,1892.526,17.36,364.343,343.9904785,,,
-32.2778119.5808,-32.2778,119.581,0.049,0.01,1.059,7.541,4,3733.474,16.579,349.852,332.6047668,,,
-32.1647119.7489,-32.1647,119.749,0.05,0.009,0.914,6.481,5.164,3733.474,16.516,337.295,320.6809387,,,
-32.1167151.4167,-32.1167,151.417,0.218,0.035,3.59,9.106,22.228,9399.895,14.262,1184.871,981.68573,,,
-32.1103118.7933,-32.1103,118.793,0.052,0.01,0.686,6.679,4,3704.526,17.563,295.933,281.2714233,,,
-32.0497119.9028,-32.0497,119.903,0.048,0.012,0.883,8.371,5,3733.474,16.779,318.295,302.5523682,,,
-32.0467115.8364,-32.0467,115.836,0.07,0.018,1.677,12.492,8.164,9433.158,18.779,684.438,617.2666626,,,
-31.8953116.5586,-31.8953,116.559,0.069,0.015,1.125,4.757,6.014,6826.158,16.916,486.981,425.6809387,,,
-31.8908116.2492,-31.8908,116.249,0.091,0.029,2.17,10.614,7.48,6826.158,16.57,778.481,571.9952393,,,
-31.8844116.2619,-31.8844,116.262,0.094,0.021,1.94,6.733,6.329,6826.158,16.76,711.429,543.1571655,,,
-31.8772120.1892,-31.8772,120.189,0.044,0.009,1.017,10.164,3.657,3083.316,17.144,296.905,282.2095337,,,
-31.8682116.223,-31.8682,116.223,0.075,0.017,2.14,7.583,6,6826.158,16.777,755.862,564.2333374,,,
-31.7821117.6108,-31.7821,117.611,0.045,0.009,0.689,6.445,5.507,4175.158,17.946,284.229,270.2571411,,,
-31.7803120.3433,-31.7803,120.343,0.047,0.008,0.794,7.284,3.493,3083.316,16.743,295.576,280.9428711,,,
-31.7078115.7219,-31.7078,115.722,0.083,0.02,1.781,9.448,8.643,6826.158,18.819,629.348,572.3618774,,,
-31.6703120.4769,-31.6703,120.477,0.043,0.009,0.702,9.526,3.657,3083.316,17.104,287.271,272.9476318,,,
-31.5761120.5786,-31.5761,120.579,0.043,0.008,0.861,8.713,3.657,3083.316,17.301,278.4,264.5380859,,,
-31.545115.6747,-31.545,115.675,0.102,0.017,2.174,8.386,9.15,6826.158,18.756,626.295,559.4761963,,,
-31.5111120.8164,-31.5111,120.816,0.043,0.009,0.845,6.9,3.15,3083.316,17.189,285.643,271.5,,,
-31.315138.566,-31.315,138.566,0.06,0.027,0.827,11.317,26.642,1242.526,17.938,276.562,262.7571411,,,
-31.2136119.3456,-31.2136,119.346,0.045,0.015,0.727,9.019,3.493,2846.579,18.561,309.529,294.1904907,,,
-31.1914120.9422,-31.1914,120.942,0.037,0.009,0.696,9.599,4.15,3083.316,17.801,294.457,279.7428589,,,
-31.0986116.0509,-31.0986,116.051,0.068,0.019,1.031,5.411,4.493,6826.158,18.568,484.552,440.7809448,,,
-31.014115.33,-31.014,115.33,0.074,0.023,1.374,9.228,10.957,6826.158,19.043,563.862,515.7476196,,,
-30.9956119.4656,-30.9956,119.466,0.043,0.015,0.775,6.681,3.657,2474.263,18.683,277.462,263.657135,,,
-30.95121.15,-30.95,121.15,0.041,0.018,0.668,7.872,4.807,2315,18.316,292.605,277.9952393,,,
-30.7961119.5364,-30.7961,119.536,0.038,0.014,0.79,10.318,4.15,2474.263,19.031,270.686,257.1190491,,,
-30.7483119.5583,-30.7483,119.558,0.037,0.014,0.866,9.924,5.643,2474.263,19.005,263.281,250.1952362,,,
-30.744121.449,-30.744,121.449,0.039,0.021,0.854,9.657,4.807,2315,18.929,280.429,266.4428711,,,
-30.74121.45,-30.74,121.45,0.043,0.02,0.884,8.858,4.807,2315,18.929,280.429,266.4428711,,,
-30.656139.547,-30.656,139.547,0.033,0.03,0.466,16.378,13.437,972.053,21.15,107.405,102.0238113,,,
-30.6431121.4536,-30.6431,121.454,0.032,0.017,0.842,9.071,5.136,2315,19.216,273.586,259.9190369,,,
-30.5152.4167,-30.5,152.417,0.231,0.038,5.307,6.491,29.01,8294.316,15.813,1325.033,1025.895264,,,
-30.515119.5942,-30.515,119.594,0.036,0.012,0.707,7.55,4.15,2474.263,18.611,246.624,234.3904724,,,
-30.4306119.6339,-30.4306,119.634,0.035,0.014,0.779,7.238,4.15,2474.263,18.587,245.995,233.7428589,,,
-30.4071115.0819,-30.4071,115.082,0.048,0.018,0.883,11.439,6.493,4726.842,19.31,479.467,454.0809631,,,
-30.4058115.0948,-30.4058,115.095,0.054,0.018,0.985,8.461,6.657,4726.842,19.49,484.657,456.8523865,,,
-30.3157115.0666,-30.3157,115.067,0.078,0.019,1.448,7.596,5.493,4726.842,19.629,469.767,443.4142761,,,
-30.3114115.2016,-30.3114,115.202,0.056,0.017,1.278,6.235,3.493,4726.842,19.756,462.186,432.7333374,,,
