latlong unique,lat,lon,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,,,
-26.2347126.2764,-26.2347,126.276,0.025,0.02,0.628,10.541,7.45,1105.684,22.707,245.419,233.1190491,,,
-26.088135.452,-26.088,135.452,0.03,0.033,0.464,12.674,13.751,666.737,23.048,134.676,128,,,
-25.9133.897,-25.9,133.897,0.031,0.02,0.336,7.666,11.601,1060.158,21.732,161.176,153.1428528,,,
-25.8808126.9128,-25.8808,126.913,0.025,0.015,0.638,10.211,8.45,875.737,22.67,284.433,269.2857056,,,
-25.8272127.0111,-25.8272,127.011,0.026,0.016,0.619,10.387,10.437,959.211,22.77,293.11,277.5666809,,,
-25.755136.545,-25.755,136.545,0.028,0.018,0.509,14.423,11.094,537,23.345,93.576,88.91428375,,,
-25.4194127.5536,-25.4194,127.554,0.026,0.015,0.606,9.28,9.437,959.211,22.64,330.5,309.5952454,,,
-25.3456131.0322,-25.3456,131.032,0.032,0.021,0.468,9.237,16.244,1215.368,21.805,298.338,282.1047668,,,
-25.3031130.6972,-25.3031,130.697,0.03,0.018,0.45,6.578,7.287,1236.842,22.009,331.343,310.8095093,,,
-25.2981127.86,-25.2981,127.86,0.026,0.022,0.611,10.476,8.614,959.211,23.1,329.457,307.0238037,,,
-25.2281130.5797,-25.2281,130.58,0.03,0.017,0.443,8.03,7.957,1236.842,22.259,345.462,323.2190552,,,
-25.1467128.5653,-25.1467,128.565,0.032,0.019,0.513,8.153,10.107,1114.263,22.536,400.433,361.8190308,,,
-25.0739128.1694,-25.0739,128.169,0.029,0.02,0.565,10.201,10.107,1114.263,22.94,325.086,299.7571411,,,
-25.0714129.5786,-25.0714,129.579,0.027,0.017,0.497,7.487,10.107,1324.842,21.813,487.114,444.4619141,,,
-25.0672129.8394,-25.0672,129.839,0.025,0.018,0.498,6.708,9.614,1324.842,22.426,438.748,403.1142883,,,
-25.0611128.3294,-25.0611,128.329,0.029,0.019,0.5,7.943,11.094,1114.263,22.994,339.267,311.8190308,,,
-25.0556129.6783,-25.0556,129.678,0.026,0.018,0.538,6.452,9.45,1324.842,22.084,462.086,422.980957,,,
-25.0464128.3108,-25.0464,128.311,0.026,0.02,0.501,9.032,10.601,1114.263,22.994,339.267,311.8190308,,,
-24.9881114.8081,-24.9881,114.808,0.032,0.026,0.602,12.046,6.136,1077.053,24.708,189.181,179.7428589,,,
-24.9544114.9386,-24.9544,114.939,0.032,0.026,0.606,14.768,6.136,1077.053,24.708,189.819,180.342865,,,
-24.8711129.0569,-24.8711,129.057,0.028,0.018,0.466,7.131,9.778,967.263,22.763,565.057,509.1142883,,,
-24.8369128.9336,-24.8369,128.934,0.028,0.019,0.53,9.456,10.601,967.632,22.62,541.214,482.3904724,,,
-24.782136.01,-24.782,136.01,0.024,0.024,0.5,11.712,11.751,569.053,23.082,122.238,116.0666656,,,
-24.631133.452,-24.631,133.452,0.027,0.021,0.46,9.034,9.107,1038.842,22.325,208.19,197.8523865,,,
-24.5336114.9822,-24.5336,114.982,0.049,0.031,0.448,11.439,7.287,1077.053,23.999,228.248,216.8809509,,,
-24.4997115.1406,-24.4997,115.141,0.03,0.022,0.546,8.395,6.136,677.684,23.969,245.533,233.1857147,,,
-24.4142115.1653,-24.4142,115.165,0.03,0.03,0.593,7.587,7.3,677.684,24.084,248.09,235.1666718,,,
-24.358132.936,-24.358,132.936,0.031,0.02,0.437,6.605,8.45,1172.737,22.183,232.133,220.5666656,,,
-24.2772116.9594,-24.2772,116.959,0.034,0.029,0.576,8.305,6.807,634.263,24.997,241.143,229.1333313,,,
-24.034133.972,-24.034,133.972,0.03,0.014,0.4,7.23,8.45,1038.842,21.404,249.833,237.3809509,,,
-24.0197117.2208,-24.0197,117.221,0.023,0.025,0.444,8.68,6.643,634.263,24.259,241.943,229.9047546,,,
-24.0108117.2631,-24.0108,117.263,0.03,0.026,0.591,10.21,6.15,634.263,24.565,238.424,226.4857178,,,
-23.9572115.1267,-23.9572,115.127,0.036,0.03,0.64,10.615,7.136,540.737,25.349,216.071,205.2714386,,,
-23.87146.12,-23.87,146.12,0.051,0.026,0.665,4.354,5.314,3411.579,22.185,460.657,437.7142944,,,
-23.6717132.3653,-23.6717,132.365,0.025,0.015,0.465,6.31,13.914,1340.789,21.366,282.067,267.9666748,,,
-23.5169133.6492,-23.5169,133.649,0.031,0.015,0.367,6.816,11.601,1240.947,21.012,285.805,270.7714233,,,
-23.5117.1606,-23.5,117.161,0.032,0.033,0.733,8.66,8.793,442.368,26.723,212.629,201.9761963,,,
-23.51146.52,-23.51,146.52,0.039,0.013,0.691,4.326,4.15,3411.579,22.597,484.748,460.6333313,,,
-23.3767129.3789,-23.3767,129.379,0.03,0.023,0.582,7.939,9.614,882.316,25.256,402.557,374.5666809,,,
-23.2219129.8925,-23.2219,129.893,0.023,0.02,0.579,10.041,8.614,882.316,25.224,384.39,359.0666504,,,
-23.1333117.8,-23.1333,117.8,0.032,0.026,0.652,14.292,8.793,442.368,25.663,283.729,269.5762024,,,
-22.994139.945,-22.994,139.945,0.03,0.031,0.395,26.93,10.778,527.421,25.016,260.981,241.4571381,,,
-22.7192117.7614,-22.7192,117.761,0.033,0.026,0.678,9.792,21.903,795.526,23.093,365.524,347.2809448,,,
-22.3468133.3276,-22.3468,133.328,0.03,0.022,0.39,7.453,10.094,1287.947,22.89,291.105,273.7476196,,,
-22.33117.6167,-22.33,117.617,0.047,0.03,0.395,9.116,7.973,795.526,24.369,397.176,375.8952332,,,
-22.3214118.5436,-22.3214,118.544,0.029,0.019,0.556,7.547,7.3,963.579,26.484,429.857,406.3190613,,,
-22.29133.616,-22.29,133.616,0.028,0.018,0.319,7.187,5.464,1287.947,23.339,226.914,215.5333405,,,
-22.289133.613,-22.289,133.613,0.034,0.019,0.333,7.311,5.3,1287.947,23.339,226.914,215.5333405,,,
-22.2542117.6697,-22.2542,117.67,0.026,0.02,0.454,8.945,6.15,795.526,24.567,411.429,388.5857239,,,
-21.1453134.1558,-21.1453,134.156,0.03,0.017,0.443,5.752,9.121,1022.368,24.661,320.138,301.138092,,,
-20.6636120.0731,-20.6636,120.073,0.035,0.018,0.61,11.845,5.986,731.474,28.519,371.5,352.9714355,,,
-20.3511134.2372,-20.3511,134.237,0.032,0.019,0.459,7.538,9.45,916.368,25.605,283.486,269.2380981,,,
-19.9728120.2206,-19.9728,120.221,0.036,0.013,0.644,5.534,3.507,1399,27.999,386.648,366.823822,,,
-19.4556121.4747,-19.4556,121.475,0.033,0.013,0.604,6.807,3.507,765.105,28.208,448.614,422.5428467,,,
-18.906137.069,-18.906,137.069,0.042,0.025,0.497,12.551,6.807,1811.158,26.07,472.69,442.5523682,,,
-18.786136.865,-18.786,136.865,0.037,0.022,0.469,13.551,6.643,1811.158,25.98,491.657,461.3571472,,,
-17.896137.101,-17.896,137.101,0.04,0.022,0.623,15.218,7.793,2944.842,26.459,645.5,591.1714478,,,
-17.7868145.5596,-17.7868,145.56,0.207,0.029,3.601,3.298,16.408,10147.895,20.955,2250.114,1237.923828,,,
-17.7585145.5457,-17.7585,145.546,0.254,0.109,4.706,3.239,19.901,10147.895,20.955,2250.114,1237.923828,,,
-17.7417133.6386,-17.7417,133.639,0.039,0.013,0.528,11.448,3.657,2389.632,26.737,579.133,547.2142944,,,
-17.6891145.5065,-17.6891,145.507,0.164,0.033,3.689,3.531,12.601,10147.895,19.52,1938.986,1171.828613,,,
-17.6817145.5299,-17.6817,145.53,0.266,0.176,5.748,3.974,20.065,10147.895,19.52,1938.986,1171.828613,,,
-17.6468145.6377,-17.6468,145.638,0.189,0.043,4.657,2.943,13.601,10147.895,20.963,3515.909,1285.93335,,,
-17.6461123.1544,-17.6461,123.154,0.031,0.011,0.727,5.182,2.493,2166.053,27.939,718.01,626.519043,,,
-17.61145.7666,-17.61,145.767,0.31,0.153,5.292,2.551,18.408,10147.895,22.605,2987.895,1343.023804,,,
-17.6099145.5626,-17.6099,145.563,0.214,0.042,4.772,3.723,14.587,10147.895,19.449,2410.981,1201.085693,,,
-17.5914145.7036,-17.5914,145.704,0.282,0.23,6.451,3.531,20.751,10147.895,20.969,3496.591,1305.157104,,,
-17.5867145.582,-17.5867,145.582,0.299,0.134,5.739,3.559,25.817,10147.895,19.449,2410.981,1201.085693,,,
-17.5411145.5614,-17.5411,145.561,0.279,0.105,6.075,3.645,24.201,10147.895,19.669,2733.476,1215.966675,,,
-17.4669128.4683,-17.4669,128.468,0.042,0.016,0.584,8.098,6.807,1458.211,27.151,633.571,600.6238403,,,
-17.4603145.4747,-17.4603,145.475,0.261,0.055,5.609,3.921,18.599,10147.895,19.141,1536.405,1104.623779,,,
-17.455145.4786,-17.455,145.479,0.228,0.062,5.594,3.613,16.914,10147.895,19.454,1909.324,1166.161865,,,
-17.4206145.6716,-17.4206,145.672,0.259,0.069,5.098,3.713,19.914,10147.895,21.507,3400.414,1299.766724,,,
-17.3992128.2831,-17.3992,128.283,0.049,0.017,0.539,11.229,6.15,1458.211,27.397,682.657,644.6619263,,,
-17.3775133.4097,-17.3775,133.41,0.041,0.016,0.56,18.94,4.314,2389.632,26.836,589.567,551.7666626,,,
-17.3653145.7154,-17.3653,145.715,0.224,0.145,6.549,3.56,22.928,10147.895,21.245,2738.424,1283.576172,,,
-17.355137.158,-17.355,137.158,0.034,0.016,0.672,7.206,3.657,2944.842,26.111,757.062,689.4666748,,,
-17.3542123.7444,-17.3542,123.744,0.034,0.013,0.79,5.583,4.329,2166.053,28.16,691.748,621.8475952,,,
-17.3516145.7273,-17.3516,145.727,0.304,0.126,5.884,3.678,25.708,10147.895,21.245,2738.424,1283.576172,,,
-17.3008130.7561,-17.3008,130.756,0.056,0.021,0.649,18.847,6.643,1714.895,26.54,648.424,613,,,
-17.3006130.7561,-17.3006,130.756,0.056,0.021,0.649,18.847,6.643,1714.895,26.54,648.424,613,,,
-17.277145.462,-17.277,145.462,0.135,0.021,2.096,5.365,20.858,10147.895,20.947,2149.481,1241.366699,,,
-17.2655145.5658,-17.2655,145.566,0.275,0.166,3.342,5.552,19.408,10147.895,21.285,2107.89,1245.480957,,,
-17.1772145.5867,-17.1772,145.587,0.16,0.037,2.669,3.948,13.751,10147.895,21.299,1614.671,1131.161865,,,
-17.1769145.5867,-17.1769,145.587,0.16,0.037,2.669,3.948,15.887,10147.895,21.299,1614.671,1131.161865,,,
-17.133133.329,-17.133,133.329,0.04,0.014,0.437,25.431,3.164,2389.632,26.655,674.59,630.5428467,,,
-17.1201145.6008,-17.1201,145.601,0.196,0.023,3.256,3.682,15.066,10147.895,20.31,2271.538,1187.947632,,,
-17.1192145.6295,-17.1192,145.63,0.155,0.028,2.818,3.664,16.585,10147.895,21.445,2501.581,1249.528564,,,
-17.117145.63,-17.117,145.63,0.185,0.024,2.732,3.841,12.614,10147.895,21.445,2501.581,1249.528564,,,
-17.1135145.6013,-17.1135,145.601,0.19,0.022,3.224,3.854,12.107,10147.895,20.31,2271.538,1187.947632,,,
-17.1011145.5735,-17.1011,145.574,0.283,0.043,6.651,3.746,23.708,10147.895,20.048,1457.448,1056.199951,,,
-16.9056125.7611,-16.9056,125.761,0.037,0.019,0.43,7.726,4.643,3557.947,26.177,924.043,774.8380737,,,
-16.2672125.0525,-16.2672,125.053,0.049,0.018,0.624,5.681,10.957,3557.947,27.165,1031.981,839.1380615,,,
-16.1453125.1392,-16.1453,125.139,0.054,0.017,0.785,6.295,7.314,3557.947,26.75,1096.181,862.1286011,,,
-16.13130.9331,-16.13,130.933,0.055,0.02,0.582,15.484,5.15,2456.105,27.471,756.657,712.1428833,,,
-16.1145.4,-16.1,145.4,0.188,0.049,3.925,4.176,23.08,14195.789,22.391,2613.872,1262.133301,,,
-16.1034145.4479,-16.1034,145.448,0.103,0.028,3.179,3.873,16.834,14195.789,23.424,2964,1322.976196,,,
-16.103145.447,-16.103,145.447,0.094,0.028,3.379,3.599,20.807,14195.789,23.424,2964,1322.976196,,,
-16.097130.891,-16.097,130.891,0.054,0.017,0.629,15.477,4.821,2456.105,27.418,769.505,723.4381104,,,
-16.0967130.8906,-16.0967,130.891,0.054,0.018,0.646,16.255,4.821,2456.105,27.418,769.505,723.4381104,,,
-16.0469125.6642,-16.0469,125.664,0.038,0.016,0.695,4.301,4.164,3557.947,25.346,1177.876,882.019043,,,
-16.0275125.2314,-16.0275,125.231,0.042,0.016,0.718,4.983,4.657,3557.947,26.495,1159.881,885.480957,,,
-16.0128128.4247,-16.0128,128.425,0.042,0.013,0.546,7.91,8.384,1660.842,28.365,883.29,812.8904419,,,
-16.0072125.5892,-16.0072,125.589,0.041,0.015,0.749,5.809,3.657,3557.947,25.285,1193.367,884.6904907,,,
-16.0072125.4719,-16.0072,125.472,0.072,0.027,1.022,5.294,12.08,3557.947,25.454,1208.376,889.1809692,,,
-15.9892126.9775,-15.9892,126.978,0.049,0.02,0.355,7.694,4.657,3300,26.877,957.224,795.8619385,,,
-15.7683126.6069,-15.7683,126.607,0.04,0.016,0.415,5.389,3.657,3300,25.891,1065.938,837.5618896,,,
-15.7136126.3869,-15.7136,126.387,0.036,0.017,0.441,6.303,3.657,3300,25.812,1103.171,845.6619263,,,
-15.5867131.1161,-15.5867,131.116,0.087,0.047,2.749,13.726,32.508,4058.211,27.859,854.719,794.5904541,,,
-15.5853127.7633,-15.5853,127.763,0.045,0.015,0.463,8.957,14.328,3300,28.684,1012.876,869.7619019,,,
-15.5806127.7647,-15.5806,127.765,0.075,0.017,0.792,10.425,12.328,3300,28.819,986.086,854.1428833,,,
-15.4508128.1203,-15.4508,128.12,0.053,0.037,0.6,10.825,14.244,2693.053,28.76,867.962,812.6142578,,,
-15.259132.371,-15.259,132.371,0.051,0.022,0.603,7.919,3.164,4575.316,26.967,868.39,819.1619263,,,
-15.2414128.4994,-15.2414,128.499,0.039,0.01,0.404,5.211,5.507,2693.053,27.954,937.119,864.9904785,,,
-14.674133.845,-14.674,133.845,0.055,0.019,0.784,8.563,2.657,4966.579,27.946,884.148,826.0761719,,,
-14.5864132.1606,-14.5864,132.161,0.051,0.021,0.648,6.64,4.807,4966.579,27.844,989.295,907.6237793,,,
-14.4731132.3031,-14.4731,132.303,0.045,0.017,0.703,8.318,2.657,4966.579,27.567,996.095,910.6762085,,,
-14.3132.0914,-14.3,132.091,0.04,0.012,0.512,4.741,2.657,4966.579,27.52,1019.943,924.5856934,,,
-14.159131.388,-14.159,131.388,0.043,0.013,0.468,5.764,4.15,4533.526,27.401,1140.071,992.9571533,,,
-14.126134.387,-14.126,134.387,0.046,0.018,0.596,4.085,2.493,5277.737,27.689,853.433,794.5380859,,,
-13.158130.778,-13.158,130.778,0.062,0.015,1.175,3.148,2.657,4849.421,26.416,1601.557,1136.761841,,,
-13.077131.118,-13.077,131.118,0.066,0.016,1.1,2.173,4.807,4533.526,27.308,1378.3,1085.147583,,,
-12.693132.385,-12.693,132.385,0.068,0.016,1.363,4.05,3.657,5434.158,27.637,1496.462,1186.161865,,,
-12.6928132.3847,-12.6928,132.385,0.068,0.016,1.363,4.05,3.657,5434.158,27.637,1496.462,1186.161865,,,
-12.65132.9167,-12.65,132.917,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.080933,,,
-12.564132.308,-12.564,132.308,0.077,0.017,1.196,4.387,5.807,5434.158,27.506,1514.19,1194.766724,,,
-12.5636132.3075,-12.5636,132.308,0.074,0.016,1.237,4.83,4.643,5434.158,27.506,1514.19,1194.766724,,,
-12.485131.146,-12.485,131.146,0.079,0.021,1.659,4.029,3.657,4854.368,27.187,1583.609,1206.076172,,,
-12.4528131.1083,-12.4528,131.108,0.073,0.018,1.401,2.804,3.986,4854.368,27.347,1608.548,1215.838135,,,
-12.4339130.9228,-12.4339,130.923,0.071,0.013,1.129,2.311,4.657,4896.368,27.487,1686.757,1241.823853,,,
-12.4130.9,-12.4,130.9,0.074,0.013,1.311,1.979,4.657,4896.368,27.552,1717.971,1240,,,
-11.7672130.8803,-11.7672,130.88,0.065,0.016,1.654,3.223,5.643,7527.211,27.042,1592.529,1152.352417,,,
-12.7131,-12.7,131,0.082,0.016,1.39,3.943,6.314,4854.368,27.358,1571.476,1218.014282,,,
-37.8145,-37.8,145,0.104,0.023,1.348,14.884,18.573,10316.263,15.782,616.805,585.8571167,,,
